name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Belgium,6e-06,6e-06,5.940594059405941e-06,5.940594059405941e-06,5.882352941176471e-06,5.882352941176471e-06,1.4705882352941177e-05,1.4705882352941177e-05,5.882352941176471e-06,5.825242718446602e-06,5.825242718446602e-06,5.825242718446602e-06,5.769230769230769e-06,5.769230769230769e-06,5.7142857142857145e-06,5.7142857142857145e-06,5.660377358490566e-06,5.607476635514019e-06,5.555555555555556e-06,5.5045871559633025e-06,5.5045871559633025e-06,5.4545454545454545e-06
Belize,0.00031914893617021275,0.00031413612565445024,0.0003092783505154639,0.00030303030303030303,0.000297029702970297,0.0007246376811594203,0.0007009345794392523,0.0006756756756756757,0.0006521739130434783,0.0006276150627615063,0.001417004048582996,0.0013725490196078432,0.0013358778625954199,0.0013011152416356876,0.0012681159420289854,0.0012367491166077739,0.0012027491408934709,0.001174496644295302,0.0011437908496732027,0.0011146496815286624,0.0010869565217391304,0.0010638297872340426
Benin,2.4096385542168674e-05,5.825242718446602e-05,5.628517823639775e-05,5.4347826086956524e-05,0.00010507880910683012,0.0001015228426395939,0.00021346469622331691,0.00027070063694267516,0.0003400309119010819,0.0003903903903903904,0.0004366812227074236,0.0004378531073446328,0.00045205479452054795,0.00046542553191489364,0.00046451612903225807,0.0004636591478696742,0.00042579075425790754,0.000378698224852071,0.0003563218390804598,0.0003020134228187919,,
Bhutan,0.000111731843575419,0.000111731843575419,0.00011278195488721805,0.0001147227533460803,0.0001160541586073501,0.00011650485436893204,0.00011560693641618497,0.00011342155009451796,0.00011070110701107011,0.00010752688172043011,0.00010471204188481675,0.00010169491525423729,9.900990099009902e-05,9.630818619582665e-05,9.375e-05,9.132420091324201e-05,8.928571428571429e-05,8.733624454148471e-05,8.559201141226819e-05,8.403361344537815e-05,8.241758241758242e-05,8.097165991902834e-05
Bolivia,0.00021865889212827988,0.00024320457796852646,0.0002524544179523142,0.0002751031636863824,0.0002830188679245283,0.0002774108322324967,0.00027202072538860106,0.0002668360864040661,0.00026151930261519304,0.0002567237163814181,0.00026378896882494,0.0002588235294117647,0.00025433526011560696,0.0002497162315550511,0.0002452619843924192,0.00024096385542168674,0.00022629310344827588,0.00022245762711864406,0.00020833333333333335,0.000194672131147541,0.00017137096774193548,0.00015841584158415842
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,
Botswana,0.0004347826086956522,0.00042253521126760566,0.0008904109589041096,0.0013422818791946308,0.0018954248366013073,0.0026114649681528664,0.0034375,0.004329268292682927,0.005389221556886228,0.006470588235294118,0.007514450867052023,0.008571428571428572,0.008988764044943821,0.009444444444444445,0.00819672131147541,0.0064516129032258064,0.005319148936170213,0.0048167539267015705,0.004051282051282051,0.0029292929292929295,,
Brazil,3.087248322147651e-05,3.75e-05,4.516129032258064e-05,5.35031847133758e-05,6.25e-05,7.407407407407407e-05,7.878787878787879e-05,7.738095238095238e-05,6.470588235294117e-05,5.7803468208092484e-05,5.714285714285714e-05,6.179775280898876e-05,6.666666666666667e-05,6.593406593406593e-05,7.027027027027026e-05,6.951871657754011e-05,6.349206349206349e-05,7.329842931937172e-05,7.253886010362694e-05,7.179487179487179e-05,7.614213197969543e-05,7.537688442211056e-05
Brunei,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,6.787330316742082e-06,6.841505131128849e-06,6.912442396313364e-06,6.993006993006993e-06,7.083825265643447e-06,7.159904534606205e-06,7.2376357056694815e-06,7.30816077953715e-06,7.371007371007371e-06,7.434944237918216e-06,7.5e-06,7.566204287515763e-06,7.623888182973317e-06,1.923076923076923e-05,1.937984496124031e-05,1.953125e-05,1.968503937007874e-05,1.9815059445178336e-05,1.9973368841544607e-05,4.6916890080428954e-05,4.72972972972973e-05,4.7554347826086956e-05
